,player_1_name,player_1_species,player_1_build_order_names,player_1_winner_status,player_1_league,player_2_name,player_2_species,player_2_build_order_names,player_2_winner_status,player_2_league,map,played_on_date_and_time,game_length,tournament_name
0,Replicant ,Terran,Cyclone Opening,1,,Couguar ,Protoss,"1 Gate Expand, Colossus Rush",0,,Map: Hecate LE,2023-11-12 11:16:00,0 days 00:14:13,
1,Spirit ,Terran,"Cyclone Opening, Reaper Expand",0, Grandmaster,MaxPax ,Protoss,"1 Gate Expand, Blink Stalkers",1, Grandmaster,Map: Solaris LE,2023-10-30 15:43:00,0 days 00:09:39,
2,Classic ,Protoss,"1 Gate Expand, Oracle Opening",0,,DKZDark ,Zerg,Hatch First,1,,Map: [ESL] NeoHumanity,2023-05-20 00:10:00,0 days 00:07:31,
3,Lambo ,Zerg,Hatch First,0,,Serral ,Zerg,Hatch First,1,,Map: [ESL] NeoHumanity,2023-09-06 06:34:00,0 days 00:07:08,
4,Cure ,Terran,,0,,MaxPax ,Protoss,"1 Gate Expand, Phoenix Opening",1, Master,Map: Solaris LE,2023-10-18 09:32:00,0 days 00:11:35,
5,MaxPax ,Protoss,"1 Gate Expand, Oracle Opening",0, Master,Serral ,Zerg,"Hatch First, Lurkers",1,,Map: Alcyone LE,2023-10-18 10:36:00,0 days 00:14:25,
6,LiquidClem ,Terran,,0, Grandmaster,MaxPax ,Protoss,"1 Gate Expand, Blink Stalkers",1, Grandmaster,Map: Oceanborn LE,2023-10-23 15:37:00,0 days 00:14:47,
7,LiquidClem ,Terran,Cyclone Opening,1, Grandmaster,MaxPax ,Protoss,"1 Gate Expand, Oracle Opening, Phoenix Opening, Carriers, Zealot Archon, Colossus Rush",0, Grandmaster,Map: Radhuset Station LE,2023-10-09 15:32:00,0 days 00:22:57,
8,LiquidClem ,Terran,1/1/1,0, Grandmaster,MaxPax ,Protoss,"Phoenix Opening, Mass Phoenix",1, Grandmaster,Map: Goldenaura LE,2023-10-09 16:03:00,0 days 00:12:12,
9,LiquidClem ,Terran,Reaper Expand,0, Grandmaster,MaxPax ,Protoss,"1 Gate Expand, Blink Stalkers, Zealot Archon",1, Master,Map: Hecate LE,2023-10-18 08:11:00,0 days 00:15:54,
